aerosol can,Erik Rotheim
motor outboard,Ole Evinrude
motorcycle,Gottlieb Daimler Wilhelm Maybach
mouse computer,Douglas Engelbart
Muzak,George Owen Squier
nail construction,Sumerians
neon lighting,Georges Claude
nuclear reactor,Enrico Fermi
nylon,Wallace H. Carothers
oil lamp,AimÃ© Argand
oil well,Edwin Laurentine Drake
pacemaker cardiac,Paul M. Zoll
paper,Ts'ai Lun
paper clip,Johan Vaaler
paper towel,Arthur Scott
parachute modern,AndrÃ©-Jacques Garnerin
parking meter,Carl C. Magee
particle accelerator,Sir John Douglas Cockcroft Ernest Thomas Sinton Walton
pasteurization,Louis Pasteur
pen ballpoint,Lazlo Biro
pencil,Conrad Gesner
periodic table,Dmitry Ivanovich Mendeleyev
personal watercraft motorized,Bombardier Inc.
petroleum jelly,Robert Chesebrough
phonograph,Thomas Alva Edison
photocopying (xerography),Chester F. Carlson
photography,Louis-Jacques-MandÃ© Daguerre
photography instant,Edwin Herbert Land
Play-Doh,Noah W. & Joseph S. McVicker
plow steel,John Deere
pocket watch,Peter Henlein
polyethylene,Eric Fawcett Reginald Gibson
polygraph (lie detector),John A. Larson
polyvinyl chloride (PVC),Eugen Baumann
Post-it Notes,Arthur Fry (3M)
potato chips,George Crum
printing press movable type,Johannes Gutenberg
Prozac,Ray W. Fuller Bryan B. Molloy
radar,Christian HÃ¼lsmeyer
radio,Guglielmo Marconi
radio car,William P. Lear
rayon,Louis-Marie-Hilaire Bernigaud count of Chardonnet
razor electric,Jacob Schick
razor safety,King Camp Gillette
reaper mechanical,Cyrus Hall McCormick
record long-playing (LP),Peter Carl Goldmark
refrigerator,John Gorrie
remote control television,Robert Adler
respirator,Forrest M. Bird
revolver,Samuel Colt
Richter scale,Charles Francis Richter Beno Gutenberg
rifle assault,Hugo Schmeisser
roller coaster,LeMarcus A. Thompson
rubber vulcanized,Charles Goodyear
rubber band,Stephen Perry
saccharin,Ira Remsen Constantin Fahlberg
safety pin,Walter Hunt
satellite successful artificial earth,Sergey Korolyov et al.
satellite communications,John Robinson Pierce
saxophone,Antoine-Joseph Sax
Scotch tape,Richard Drew (3M)
scuba gear,Jacques Cousteau Ã‰mile Gagnan
seat belt automotive shoulder,Nils Bohlin (Volvo)
sewing machine,BarthÃ©lemy Thimonnier
silicone,Frederic Stanley Kipping
skateboard,Bill & Mark Richards
skates roller,Joseph Merlin 
skyscraper steel-frame,William Le Baron Jenney
slot machine,Charles Fey
snowmobile,Joseph-Armand Bombardier
soap,Phoenicians
soft drinks carbonated,Joseph Priestley
sonar,Paul Langevin
stamps postage,Sir Rowland Hill
stapler,George W. McGill
steamboat successful,Robert Fulton
steel mass-production,Henry Bessemer
steel stainless,Harry Brearley
stereo personal,Sony Corp.
stereophonic sound recording,Alan Dower Blumlein
stethoscope,RenÃ©-ThÃ©ophile-Hyacinthe LaÃ«nnec
stock ticker,Edward A. Calahan
stove electric,William Hadaway
stove gas,James Sharp
straw drinking,Marvin Stone
submarine,Cornelis Drebbel
sunglasses,James Ayscough
sunscreen,Benjamin Green
supermarket,Michael Cullen
synthesizer music,Harry Olson Herbert Belar
synthetic skin,Ioannis V. Yannas John F. Burke
tampon cotton,Earle Cleveland Haas
tank military,Admiralty Landships Committee
tea bag,Thomas Sullivan
teddy bear,Morris Michtom
Teflon,Roy Plunkett
telegraph,Samuel F.B. Morse
telephone wired-line,Alexander Graham Bell
telephone mobile,Bell Laboratories
telescope optical,Hans Lippershey
television,Vladimir Kosma Zworykin Philo Taylor Farnsworth
thermometer,Galileo
thermostat,Andrew Ure
threshing machine,Andrew Meikle
tire pneumatic,John Boyd Dunlop 
tissue disposable facial,Kimberly-Clark Co.
tissue toilet,Joseph Gayetty
toaster electric,Crompton Co.
toilet flush,Sir John Harington
tractor,John Froehlich
traffic lights automatic,Garrett A. Morgan
transistor,John Bardeen Walter H. Brattain
typewriter,Christopher Latham Sholes
ultrasound imaging obstetric,Ian Donald
vaccination,Edward Jenner
vacuum cleaner electric,Herbert Cecil Booth
Velcro,George de Mestral
Viagra,Pfizer Inc.
video games,Nolan Bushnell
videocassette recorder,Sony Corp.
videotape,Charles Ginsburg
virtual reality,Jaron Lanier
vision correction laser,Stephen Trokel
washing machine electric,Alva J. Fisher
wheel,proto-Aryan people or Sumerians
World Wide Web,Tim Berners-Lee
wristwatch digital,John M. Bergey
X-ray imaging,Wilhelm Conrad RÃ¶ntgen
Zamboni (ice resurfacing machine),Frank J. Zamboni
zipper,Whitcomb L. Judson 
