StarCraft II: Wings of Liberty,Blizzard Entertainment
Super Mario Galaxy 2,Nintendo
Super Meat Boy,Team Meat
Batman: Arkham City,Warner Bros. Interactive Entertainment
Dark Souls,Namco Bandai Games
The Elder Scrolls V: Skyrim,Bethesda Softworks
Minecraft,Mojang
Portal 2,Valve
Dishonored,Bethesda Softworks
Journey,Sony Computer Entertainment
The Walking Dead,Telltale Games
Dota 2,Valve
Grand Theft Auto V,Rockstar Games
The Last of Us,Sony Computer Entertainment
Bloodborne,Sony Computer Entertainment
The Witcher 3: Wild Hunt,CD Projekt
Inside,Playdead
Overwatch,Blizzard Entertainment
The Legend of Zelda: Breath of the Wild,Nintendo
